task_id,family,valid,correct,input_tokens,latency_s
easy-fact-02,fact,True,True,75,0.04610877297818661
easy-fact-03,fact,True,True,78,0.04664856195449829
easy-fact-04,fact,True,True,67,0.04619005706626922
easy-fact-05,fact,True,True,68,0.04604468203615397
easy-fact-06,fact,True,True,88,0.046104685054160655
easy-fact-07,fact,True,True,63,0.045485366019420326
easy-fact-08,fact,True,True,59,0.04557005502283573
easy-fact-09,fact,True,True,59,0.045574445044621825
easy-fact-10,fact,True,True,68,0.04685313906520605
easy-fact-11,fact,True,True,69,0.04582584893796593
easy-extraction-00,extraction,True,True,57,0.046678557991981506
easy-extraction-01,extraction,True,True,59,0.04484461701940745
easy-extraction-02,extraction,True,True,60,0.04706759296823293
easy-extraction-03,extraction,True,True,61,0.04455071105621755
easy-extraction-04,extraction,True,True,59,0.04595349996816367
easy-extraction-05,extraction,True,True,59,0.045069391024298966
easy-extraction-06,extraction,True,True,52,0.046211316017434
easy-extraction-07,extraction,True,True,50,0.04523435200098902
easy-extraction-08,extraction,True,True,58,0.04544720402918756
easy-extraction-09,extraction,True,True,60,0.0448964040260762
easy-extraction-10,extraction,True,True,56,0.0451270790072158
easy-extraction-11,extraction,True,True,63,0.04498754604719579
easy-tool_selection-00,tool_selection,True,True,91,0.04944855801295489
easy-tool_selection-01,tool_selection,True,True,92,0.04612573503982276
easy-tool_selection-02,tool_selection,True,True,95,0.045948099927045405
easy-tool_selection-03,tool_selection,True,True,93,0.04629372199997306
easy-tool_selection-04,tool_selection,True,True,89,0.04583618801552802
easy-tool_selection-05,tool_selection,True,True,95,0.048561914009042084
easy-tool_selection-06,tool_selection,True,True,99,0.04609177098609507
easy-tool_selection-07,tool_selection,True,True,99,0.04645028803497553
easy-tool_selection-08,tool_selection,True,True,98,0.04579996003303677
easy-tool_selection-09,tool_selection,True,True,95,0.04651222506072372
easy-tool_selection-10,tool_selection,True,True,95,0.04639813001267612
easy-tool_selection-11,tool_selection,True,True,98,0.04617451690137386
hard-opus-a-long_policy-01,long_policy,True,True,3902,6.084970631985925
hard-opus-a-long_policy-04,long_policy,True,False,2594,10.648537044995464
hard-opus-a-long_policy-08,long_policy,True,False,2369,5.997776038944721
hard-opus-a-long_policy-09,long_policy,True,False,2498,0.20032245700713247
hard-opus-a-long_policy-11,long_policy,True,False,2313,0.061684419051744044
hard-opus-a-long_policy-13,long_policy,True,False,2405,0.06235098803881556
hard-opus-a-long_policy-17,long_policy,True,True,2329,0.06112331000622362
hard-opus-a-long_policy-19,long_policy,True,False,2304,5.896084044012241
hard-opus-a-probability-03,probability,True,True,407,0.050253779045306146
hard-opus-a-probability-04,probability,True,False,1076,10.630132678081281
hard-opus-a-probability-07,probability,True,False,1190,0.04902201402001083
hard-opus-a-probability-08,probability,True,True,370,0.04934839007910341
hard-opus-a-temporal_numeric-03,temporal_numeric,True,False,466,0.046642701025120914
hard-opus-a-temporal_numeric-06,temporal_numeric,True,False,501,0.046016479027457535
hard-opus-a-temporal_numeric-07,temporal_numeric,True,False,1275,0.1867245240136981
hard-opus-a-temporal_numeric-09,temporal_numeric,True,False,498,0.04739261697977781
hard-opus-a-temporal_numeric-12,temporal_numeric,True,False,572,0.047084605088457465
hard-opus-b-ambiguous-02,ambiguous,True,True,511,0.04724109102971852
hard-opus-b-ambiguous-03,ambiguous,True,False,466,0.04663899389561266
hard-opus-b-ambiguous-07,ambiguous,True,False,469,0.04709852102678269
hard-opus-b-ambiguous-09,ambiguous,True,False,607,0.047367348917759955
hard-opus-b-ambiguous-10,ambiguous,True,True,422,0.047943827928975224
hard-opus-b-ambiguous-11,ambiguous,True,False,436,0.0464297590078786
hard-opus-b-ambiguous-13,ambiguous,True,True,574,0.04714581090956926
hard-opus-b-multi_hop-03,multi_hop,True,False,2936,5.728354593040422
hard-opus-b-multi_hop-04,multi_hop,True,False,2318,0.06161566998343915
hard-opus-b-multi_hop-05,multi_hop,True,False,2568,0.06731976906303316
hard-opus-b-multi_hop-07,multi_hop,True,False,2613,0.20869391201995313
hard-opus-b-multi_hop-08,multi_hop,True,False,2291,0.19898077403195202
hard-opus-b-probability-01,probability,True,True,1891,5.722512003034353
hard-opus-b-probability-02,probability,True,False,472,0.046957897022366524
hard-opus-b-probability-03,probability,True,True,1192,0.04879723896738142
hard-opus-b-probability-04,probability,True,True,573,0.04799788899254054
hard-opus-b-probability-06,probability,True,False,991,0.04687483992893249
hard-opus-b-tradeoff-01,tradeoff,True,False,812,0.04961204691790044
hard-opus-b-tradeoff-03,tradeoff,True,True,731,0.04758899693842977
hard-opus-b-tradeoff-06,tradeoff,True,True,769,0.047750832978636026
hard-opus-b-tradeoff-07,tradeoff,True,False,690,0.04769611998926848
hard-opus-b-tradeoff-08,tradeoff,True,True,580,0.04784063308034092
hard-opus-b-tradeoff-12,tradeoff,True,False,565,0.04688559996429831
hard-opus-c-long_policy-02,long_policy,True,False,3555,0.22027851408347487
hard-opus-c-long_policy-03,long_policy,True,False,3479,0.08796096895821393
hard-opus-c-long_policy-04,long_policy,True,True,3290,5.7271829911042005
hard-opus-c-long_policy-05,long_policy,True,False,3224,0.08500411710701883
hard-opus-c-long_policy-08,long_policy,True,False,3228,0.08296753198374063
hard-opus-c-long_policy-10,long_policy,True,True,3606,5.720217751921155
hard-opus-c-long_policy-11,long_policy,True,False,3378,0.08746592490933836
hard-opus-c-probability-03,probability,True,False,522,0.04740690300241113
hard-opus-c-temporal_numeric-02,temporal_numeric,True,False,915,0.04837232606951147
hard-opus-c-temporal_numeric-03,temporal_numeric,True,False,841,0.04764610598795116
hard-opus-c-temporal_numeric-04,temporal_numeric,True,False,756,0.04886421503033489
hard-opus-c-temporal_numeric-06,temporal_numeric,True,False,957,0.04764241899829358
hard-opus-c-temporal_numeric-08,temporal_numeric,True,False,960,0.047732127946801484
hard-opus-c-temporal_numeric-12,temporal_numeric,True,True,796,0.047995375003665686
hard-sol-a-adversarial-01,adversarial,True,False,255,0.047247102949768305
hard-sol-a-adversarial-06,adversarial,True,True,220,0.04576011491008103
hard-sol-a-adversarial-07,adversarial,True,True,271,0.045689121005125344
hard-sol-a-adversarial-08,adversarial,True,True,197,0.04738478292711079
hard-sol-a-adversarial-09,adversarial,True,True,212,0.045697306049987674
hard-sol-a-adversarial-11,adversarial,True,True,276,0.0472466719802469
hard-sol-a-multi_hop-01,multi_hop,True,True,2351,0.06093966297339648
hard-sol-a-multi_hop-02,multi_hop,True,False,2376,0.061247113975696266
hard-sol-a-multi_hop-05,multi_hop,True,True,2295,0.058184170979075134
hard-sol-a-multi_hop-07,multi_hop,True,False,2286,0.05802807700820267
hard-sol-a-multi_hop-08,multi_hop,True,True,2261,0.0578752780565992
hard-sol-a-multi_hop-09,multi_hop,True,True,2261,0.057876840932294726
hard-sol-a-multi_hop-10,multi_hop,True,True,2311,0.06019990693312138
hard-sol-a-multi_hop-12,multi_hop,True,False,2273,0.05801502207759768
hard-sol-a-trap-02,trap,True,True,270,0.04728834005072713
hard-sol-a-trap-04,trap,True,True,177,0.04910483001731336
hard-sol-a-trap-05,trap,True,False,322,0.04857839597389102
hard-sol-a-trap-06,trap,True,True,323,0.046823511947877705
hard-sol-a-trap-08,trap,True,True,250,0.04529970488511026
hard-sol-a-trap-10,trap,True,True,176,0.046786692924797535
hard-sol-a-trap-13,trap,True,True,185,0.046166662010364234
hard-sol-a-trap-15,trap,True,False,287,0.04651407804340124
hard-sol-b-judge_hard-01,judge_hard,True,True,267,0.04657779901754111
hard-sol-b-judge_hard-02,judge_hard,True,False,191,0.045661658979952335
hard-sol-b-judge_hard-05,judge_hard,True,True,210,0.045672699925489724
hard-sol-b-judge_hard-08,judge_hard,True,False,193,0.04581844503991306
hard-sol-b-judge_hard-10,judge_hard,True,True,212,0.045653363107703626
hard-sol-b-judge_hard-14,judge_hard,True,True,229,0.045332367066293955
hard-sol-b-judge_hard-15,judge_hard,True,True,185,0.04624768509529531
hard-sol-b-judge_hard-18,judge_hard,True,False,152,0.046281389077194035
hard-sol-b-long_policy-01,long_policy,True,True,2713,0.07115607196465135
hard-sol-b-long_policy-02,long_policy,True,False,2564,0.06620945304166526
hard-sol-b-long_policy-05,long_policy,True,False,2524,0.0633547130273655
hard-sol-b-long_policy-06,long_policy,True,True,2608,0.06641344795934856
hard-sol-b-routing_hard-01,routing_hard,True,True,285,0.04585843102540821
hard-sol-b-routing_hard-02,routing_hard,True,True,268,0.045893707079812884
hard-sol-b-routing_hard-03,routing_hard,True,True,266,0.04648885107599199
hard-sol-b-routing_hard-07,routing_hard,True,True,249,0.04620298102963716
hard-sol-b-routing_hard-09,routing_hard,True,True,255,0.04579857795033604
hard-sol-b-temporal_numeric-01,temporal_numeric,True,False,262,0.04672196100000292
hard-sol-b-temporal_numeric-02,temporal_numeric,True,True,275,0.04659540194552392
hard-sol-b-temporal_numeric-03,temporal_numeric,True,False,214,0.046610980993136764
hard-sol-b-temporal_numeric-04,temporal_numeric,True,False,225,0.05245109705720097
hard-sol-c-judge_hard-03,judge_hard,True,False,374,0.047321111895143986
hard-sol-c-judge_hard-05,judge_hard,True,True,336,0.04794347600545734
hard-sol-c-judge_hard-07,judge_hard,True,False,300,0.04655255109537393
hard-sol-c-judge_hard-08,judge_hard,True,True,294,0.046992520918138325
hard-sol-c-judge_hard-09,judge_hard,True,True,325,0.04675640491768718
hard-sol-c-judge_hard-10,judge_hard,True,True,354,0.04774968104902655
hard-sol-c-judge_hard-11,judge_hard,True,True,325,0.04676877905149013
hard-sol-c-judge_hard-13,judge_hard,True,False,315,0.04680204193573445
hard-sol-c-judge_hard-15,judge_hard,True,True,269,0.04626275401096791
hard-sol-c-multi_hop-07,multi_hop,True,True,2501,0.06725893402472138
hard-sol-c-multi_hop-09,multi_hop,True,True,2520,0.06408065394498408
hard-sol-c-multi_hop-11,multi_hop,True,True,2598,0.06602391297928989
hard-sol-c-multi_hop-12,multi_hop,True,False,518,0.04713382804766297
hard-sol-c-multi_hop-13,multi_hop,True,True,2570,0.06578748603351414
