figure,task,system,metric,value,n,scope
05_latency,text_1q,laya-multilingual,p50_ms,9.77273549506208,20,warm_same_gpu_native_api
05_latency,text_5q,laya-multilingual,p50_ms,14.757040997210424,20,warm_same_gpu_native_api
05_latency,text_10q,laya-multilingual,p50_ms,15.505847499298397,20,warm_same_gpu_native_api
05_latency,text_50q,laya-multilingual,p50_ms,47.18665350083029,20,warm_same_gpu_native_api
05_latency,text_1q,laya-vision,p50_ms,11.004746505932417,20,warm_same_gpu_native_api
05_latency,text_5q,laya-vision,p50_ms,15.885435503150802,20,warm_same_gpu_native_api
05_latency,text_10q,laya-vision,p50_ms,30.90040550159756,20,warm_same_gpu_native_api
05_latency,text_50q,laya-vision,p50_ms,125.62829850503476,20,warm_same_gpu_native_api
05_latency,image_1q,dohnuts,p50_ms,24.430210003629327,20,warm_same_gpu_native_api
05_latency,image_3q,dohnuts,p50_ms,35.844956495566294,20,warm_same_gpu_native_api
05_latency,image_1q,laya-vision,p50_ms,75.40706799773034,20,warm_same_gpu_native_api
05_latency,image_3q,laya-vision,p50_ms,77.888197505672,20,warm_same_gpu_native_api
06_agreement,jev,Dohnuts vs jev,both_correct,148,231,identical_public_ids
06_agreement,jev,Dohnuts vs jev,dohnuts_only_correct,4,231,identical_public_ids
06_agreement,jev,Dohnuts vs jev,reference_only_correct,52,231,identical_public_ids
06_agreement,jev,Dohnuts vs jev,both_wrong,27,231,identical_public_ids
06_agreement,laya-multilingual,Dohnuts vs laya-multilingual,both_correct,95,231,identical_public_ids
06_agreement,laya-multilingual,Dohnuts vs laya-multilingual,dohnuts_only_correct,57,231,identical_public_ids
06_agreement,laya-multilingual,Dohnuts vs laya-multilingual,reference_only_correct,15,231,identical_public_ids
06_agreement,laya-multilingual,Dohnuts vs laya-multilingual,both_wrong,64,231,identical_public_ids
06_agreement,laya-vision,Dohnuts vs laya-vision,both_correct,101,231,identical_public_ids
06_agreement,laya-vision,Dohnuts vs laya-vision,dohnuts_only_correct,51,231,identical_public_ids
06_agreement,laya-vision,Dohnuts vs laya-vision,reference_only_correct,10,231,identical_public_ids
06_agreement,laya-vision,Dohnuts vs laya-vision,both_wrong,69,231,identical_public_ids
06_agreement,laya-multilingual,Dohnuts vs laya-multilingual,exact_answer_agreement,142,231,identical_public_ids
06_agreement,laya-vision,Dohnuts vs laya-vision,exact_answer_agreement,147,231,identical_public_ids
